RECEIPTNUMBER,MERCHANTNAME,MERCHANTADDRESS,TRANSACTIONDATE,TRANSACTIONTIME,ITEMS,PRICE,TOTAL,VATTAX
8290607,7,roblacion,04,1923160,enTedAple500ml,50.000,128.10,13.71
8290607,7,roblacion,04,1923160,IChdogForkftee,00U,128.10,13.71
8290607,7,roblacion,04,1923160,MuguSt,39.00V,128.10,13.71
8290607,7,roblacion,04,1923160,rwbryCo370mt,30.00V,128.10,13.71
8290607,7,roblacion,04,1923160,SEL,56.000,128.10,13.71
8290607,7,roblacion,04,1923160,CRNTOCONE,,128.10,13.71
8290607,7,roblacion,04,1923160,105M,,128.10,13.71
8290607,7,roblacion,04,1923160,.,,128.10,13.71
8290607,7,roblacion,04,1923160,RiteN.i,,128.10,13.71
8290607,7,roblacion,04,1923160,teLmon250ml,,128.10,13.71
8290607,7,roblacion,04,1923160,•,,128.10,13.71
